sitename,county,aqi,pollutant,status,co,pm2.5,pm2.5_avg,nox
埔里,南投縣,65,細懸浮微粒,普通,0.35,19.0,17.7,10.4
復興,高雄市,73,細懸浮微粒,普通,0.48,18.0,20.6,21.8
永和,新北市,33,,良好,0.39,6.0,7.5,21.3
竹山,南投縣,75,細懸浮微粒,普通,0.33,23.0,21.1,19.9
中壢,桃園市,40,,良好,0.42,7.0,9.4,28.0
三重,新北市,59,二氧化氮,普通,0.93,6.0,9.5,83.7
冬山,宜蘭縣,30,,良好,0.18,7.0,6.7,4.5
宜蘭,宜蘭縣,27,,良好,0.15,4.0,6.1,3.8
陽明,台北市,36,,良好,0.14,5.0,2.5,1.9
花蓮,花蓮縣,33,,良好,0.4,3.0,3.9,16.8
臺東,台東縣,28,,良好,0.21,8.0,4.3,6.5
恆春,屏東縣,37,,良好,0.13,2.0,2.6,2.2
潮州,屏東縣,66,細懸浮微粒,普通,0.34,15.0,17.8,9.3
屏東,屏東縣,78,細懸浮微粒,普通,0.34,24.0,22.5,19.4
小港,高雄市,77,細懸浮微粒,普通,0.37,22.0,22.0,20.8
前鎮,高雄市,72,懸浮微粒,普通,0.41,11.0,17.9,21.7
前金,高雄市,68,懸浮微粒,普通,0.27,15.0,17.0,16.5
左營,高雄市,68,細懸浮微粒,普通,0.3,12.0,18.8,15.8
楠梓,高雄市,82,細懸浮微粒,普通,0.34,22.0,23.9,20.3
林園,高雄市,89,細懸浮微粒,普通,0.51,35.0,26.2,35.6
大寮,高雄市,92,細懸浮微粒,普通,0.43,29.0,27.4,30.8
鳳山,高雄市,82,細懸浮微粒,普通,0.6,25.0,23.7,33.7
仁武,高雄市,81,細懸浮微粒,普通,0.34,14.0,23.5,24.8
橋頭,高雄市,81,細懸浮微粒,普通,0.33,21.0,23.3,20.3
美濃,高雄市,68,細懸浮微粒,普通,0.31,16.0,18.7,14.0
臺南,台南市,67,懸浮微粒,普通,0.31,8.0,17.2,19.2
安南,台南市,70,懸浮微粒,普通,0.29,11.0,16.4,16.3
善化,台南市,71,細懸浮微粒,普通,0.28,20.0,19.8,17.3
新營,台南市,65,懸浮微粒,普通,0.32,17.0,17.2,19.8
嘉義,嘉義市,67,懸浮微粒,普通,0.38,16.0,17.7,20.2
臺西,雲林縣,55,懸浮微粒,普通,0.3,7.0,8.4,16.1
朴子,嘉義縣,61,懸浮微粒,普通,0.28,14.0,12.4,16.0
新港,嘉義縣,60,懸浮微粒,普通,0.33,17.0,14.9,17.7
崙背,雲林縣,67,細懸浮微粒,普通,0.53,15.0,18.5,17.6
斗六,雲林縣,74,細懸浮微粒,普通,0.32,23.0,21.0,20.0
南投,南投縣,67,細懸浮微粒,普通,0.39,20.0,18.3,19.4
二林,彰化縣,51,懸浮微粒,普通,0.24,8.0,9.5,11.8
線西,彰化縣,26,,良好,0.18,6.0,3.2,8.3
彰化,彰化縣,51,二氧化氮,普通,0.36,10.0,8.4,24.2
西屯,台中市,45,,良好,0.27,8.0,8.4,20.6
忠明,台中市,51,二氧化氮,普通,0.41,11.0,10.2,26.7
大里,台中市,54,二氧化氮,普通,0.66,8.0,8.9,37.3
沙鹿,台中市,25,,良好,0.21,4.0,5.9,11.2
豐原,台中市,38,,良好,0.31,8.0,9.4,12.7
三義,苗栗縣,25,,良好,0.17,1.0,3.4,3.9
苗栗,苗栗縣,26,,良好,0.24,4.0,3.3,10.5
頭份,苗栗縣,27,,良好,0.21,5.0,5.3,10.3
新竹,新竹市,31,,良好,0.28,4.0,6.8,13.7
竹東,新竹縣,28,,良好,0.17,0.0,2.8,6.8
湖口,新竹縣,27,,良好,0.16,4.0,3.5,7.8
龍潭,桃園市,24,,良好,0.22,3.0,3.3,11.0
平鎮,桃園市,32,,良好,0.32,6.0,8.0,16.0
觀音,桃園市,28,,良好,0.12,6.0,6.8,7.0
大園,桃園市,27,,良好,0.15,3.0,6.2,12.2
桃園,桃園市,36,,良好,0.32,7.0,7.2,16.8
大同,台北市,59,二氧化氮,普通,0.85,6.0,9.2,81.1
松山,台北市,54,二氧化氮,普通,0.31,5.0,7.2,31.7
古亭,台北市,33,,良好,0.26,5.0,5.0,15.8
萬華,台北市,51,二氧化氮,普通,0.31,5.0,5.7,25.4
中山,台北市,52,二氧化氮,普通,0.38,8.0,8.4,27.8
士林,台北市,27,,良好,0.18,3.0,4.5,8.7
淡水,新北市,29,,良好,0.25,6.0,7.2,13.8
林口,新北市,33,,良好,0.25,5.0,7.0,15.8
菜寮,新北市,33,,良好,0.29,3.0,3.7,15.9
新莊,新北市,38,,良好,0.27,5.0,6.1,17.7
板橋,新北市,50,,良好,0.38,6.0,6.6,24.6
土城,新北市,52,二氧化氮,普通,0.44,1.0,3.4,26.5
新店,新北市,24,,良好,0.23,5.0,4.3,11.9
汐止,新北市,43,,良好,0.25,8.0,8.1,19.9
基隆,基隆市,33,,良好,0.16,5.0,6.2,4.8
嘉義（東區）,嘉義市,73,細懸浮微粒,普通,0.43,24.0,20.6,32.1
屏東(枋山),屏東縣,65,細懸浮微粒,普通,0.18,6.0,17.7,3.1
臺南（南化）,台南市,59,細懸浮微粒,普通,0.28,17.0,15.4,10.0
新北(樹林),新北市,54,二氧化氮,普通,0.44,8.0,8.5,39.0
屏東（琉球）,屏東縣,52,細懸浮微粒,普通,0.26,16.0,12.8,7.2
南投（鹿谷）,南投縣,48,,良好,0.29,17.0,11.8,11.0
高雄（湖內）,高雄市,68,細懸浮微粒,普通,0.26,16.0,18.8,16.5
宜蘭（三星）,宜蘭縣,29,,良好,0.13,1.0,2.4,2.1
林森,台南市,70,懸浮微粒,普通,0.63,10.0,16.6,28.4
員林,彰化縣,52,細懸浮微粒,普通,0.39,11.0,12.9,24.8
大城,彰化縣,50,,良好,0.3,12.0,11.4,19.0
富貴角,新北市,52,細懸浮微粒,普通,0.06,13.0,12.7,0.5
麥寮,雲林縣,60,懸浮微粒,普通,0.28,11.0,9.6,15.8
關山,台東縣,29,,良好,0.2,6.0,4.1,7.4
馬公,澎湖縣,54,懸浮微粒,普通,0.18,9.0,10.9,3.5
金門,金門縣,81,細懸浮微粒,普通,0.29,22.0,23.3,11.9
馬祖,連江縣,70,細懸浮微粒,普通,0.19,13.0,19.6,6.1
埔里,南投縣,63,細懸浮微粒,普通,0.37,26.0,17.0,12.3
復興,高雄市,73,細懸浮微粒,普通,0.62,21.0,20.5,27.4
永和,新北市,36,,良好,0.47,7.0,8.2,21.5
竹山,南投縣,73,細懸浮微粒,普通,0.33,23.0,20.7,19.4
中壢,桃園市,50,,良好,0.59,11.0,9.6,36.2
